timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_kb,net_out_kb
18:46:58,filebeat-collector,0.44,218.3,512,872,126
18:46:58,logs-siger-consumer-es-logstash-sink-1,0.58,545.9,768,30.3,93.4
18:46:58,kibana,0.43,489.6,512,1.76,6.57
18:46:58,elasticsearch,2.34,1.268,1.27,6.47,1.62
18:46:58,kafka-ui,0.20,260.7,15.15,16,1.94
18:46:58,zookeeper,0.10,92.74,15.15,16.5,7.68
18:47:03,filebeat-collector,2.41,219,512,872,126
18:47:03,logs-siger-consumer-es-logstash-sink-1,1.53,546.1,768,30.3,93.4
18:47:03,kibana,0.19,491.5,512,1.79,6.64
18:47:03,elasticsearch,0.35,1.269,1.27,6.55,1.66
18:47:03,kafka-ui,0.06,260.5,15.15,16,1.94
18:47:03,zookeeper,0.17,92.75,15.15,16.5,7.68
18:47:09,filebeat-collector,0.42,218.7,512,872,126
18:47:09,logs-siger-consumer-es-logstash-sink-1,0.58,546.3,768,31.7,96.8
18:47:09,kibana,0.20,483.3,512,1.83,6.72
18:47:09,elasticsearch,3.18,1.267,1.27,6.63,1.7
18:47:09,kafka-ui,0.06,260.5,15.15,16,1.94
18:47:09,zookeeper,0.10,92.75,15.15,16.5,7.68
18:47:14,filebeat-collector,7.94,219.5,512,872,126
18:47:14,logs-siger-consumer-es-logstash-sink-1,0.53,546.3,768,31.7,96.8
18:47:14,kibana,0.40,482.8,512,1.87,6.8
18:47:14,elasticsearch,1.71,1.267,1.27,6.71,1.74
18:47:14,kafka-ui,0.05,260.5,15.15,16,1.94
18:47:14,zookeeper,0.10,92.75,15.15,16.5,7.68
18:47:20,filebeat-collector,3.27,219.6,512,872,126
18:47:20,logs-siger-consumer-es-logstash-sink-1,2.00,546.6,768,32,99.3
18:47:20,kibana,2.01,482.4,512,1.9,6.87
18:47:20,elasticsearch,6.14,1.268,1.27,6.79,1.77
18:47:20,kafka-ui,0.07,260.5,15.15,16,1.94
18:47:20,zookeeper,0.10,92.75,15.15,16.5,7.68
18:47:26,filebeat-collector,9.43,221.3,512,872,126
18:47:26,logs-siger-consumer-es-logstash-sink-1,4.41,551.2,768,32,99.3
18:47:26,kibana,1.70,482.9,512,1.94,6.95
18:47:26,elasticsearch,9.00,1.268,1.27,6.87,1.81
18:47:26,kafka-ui,0.06,260.5,15.15,16,1.94
18:47:26,zookeeper,0.11,92.75,15.15,16.5,7.68
18:47:31,filebeat-collector,2.21,220.6,512,872,126
18:47:31,logs-siger-consumer-es-logstash-sink-1,2.93,550.8,768,32.3,102
18:47:31,kibana,1.66,482.5,512,1.98,7.03
18:47:31,elasticsearch,4.36,1.268,1.27,6.94,1.85
18:47:31,kafka-ui,0.50,260.5,15.15,16,1.94
18:47:31,zookeeper,0.11,92.75,15.15,16.5,7.68
18:47:37,filebeat-collector,0.15,220.4,512,872,126
18:47:37,logs-siger-consumer-es-logstash-sink-1,5.49,550.9,768,33.8,105
18:47:37,kibana,0.51,483,512,2.01,7.08
18:47:37,elasticsearch,0.89,1.267,1.27,7,1.88
18:47:37,kafka-ui,0.10,260.5,15.15,16,1.94
18:47:37,zookeeper,0.13,92.75,15.15,16.5,7.68
